Ensembl_Gene_ID	Chromosome_Name	Gene_Start_bp	Gene_End_bp	HGNC_ID	HGNC_symbol
ENSG00000162068	16	2471499	2474145	HGNC:8030	NTN3
ENSG00000275351	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54832726	54848250	HGNC:6336	KIR2DS4
ENSG00000271771	5	34158121	34158767		
ENSG00000229552	CHR_HSCHR6_MHC_QBL_CTG1	29887829	29888960	HGNC:23478	HLA-T
ENSG00000227830	Y	8413037	8414054	HGNC:38409	TRIM60P3Y
ENSG00000236441	CHR_HSCHR6_MHC_QBL_CTG1	29897789	29898155	HGNC:33450	DDX39BP1
ENSG00000216824	Y	8418791	8419900	HGNC:38410	ZNF736P10Y
ENSG00000139193	12	6444867	6451718	HGNC:11922	CD27
ENSG00000224003	22	25647261	25649232		
ENSG00000236678	13	74543838	74565445	HGNC:27890	LINC00347
ENSG00000229411	CHR_HSCHR6_MHC_QBL_CTG1	29899031	29899890	HGNC:33449	MCCD1P1
ENSG00000205837	2	6728177	6770311	HGNC:42947	LINC00487
ENSG00000275866	Y	8517364	8517748		
ENSG00000237387	22	25580241	25581382		
ENSG00000235692	CHR_HSCHR6_MHC_MCF_CTG1	33459645	33468744	HGNC:4926	PFDN6
ENSG00000274957	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54832707	54848622	HGNC:6336	KIR2DS4
ENSG00000274402	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54738465	54752989	HGNC:6331	KIR2DL3
ENSG00000227912	10	2166332	2169460		
ENSG00000231326	10	2169140	2189474		
ENSG00000277435	15	22690454	22691158		
ENSG00000276412	9	41651935	41652172		
ENSG00000100077	22	25564849	25729294	HGNC:290	ADRBK2
ENSG00000228250	CHR_HSCHR6_MHC_MCF_CTG1	31794930	31798127	HGNC:13936	LY6G6C
ENSG00000172524	CHR_HSCHR6_MHC_QBL_CTG1	30125643	30138271	HGNC:18736	TRIM40
ENSG00000274114	17	6657214	6661413		
ENSG00000238103	X	23836742	23837321	HGNC:30335	RPL9P7
ENSG00000134489	18	24460629	24479957	HGNC:17383	HRH4
ENSG00000270444	13	39856710	39857094	HGNC:49098	AZU1P1
ENSG00000229011	13	79804418	79805685	HGNC:49026	LINC01038
ENSG00000244231	Y	24183434	24187231	HGNC:32424	CSPG4P2Y
ENSG00000235722	CHR_HSCHR6_MHC_APD_CTG1	30104215	30107221	HGNC:39761	TRIM31-AS1
ENSG00000092445	15	41557675	41583586	HGNC:12446	TYRO3
ENSG00000109705	4	13540830	13545050	HGNC:951	NKX3-2
ENSG00000276820	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54813971	54828213	HGNC:6329	KIR2DL1
ENSG00000228890	Y	9717653	9721296	HGNC:18845	TTTY21
ENSG00000276905	20	16720016	16729880		
ENSG00000260814	15	41770756	41772732		
ENSG00000231566	X	45848074	45851490		
ENSG00000224542	CHR_HSCHR6_MHC_APD_CTG1	30102946	30105603	HGNC:16289	TRIM31
ENSG00000264503	18	10622123	10622267		
ENSG00000196139	10	5035354	5107686	HGNC:386	AKR1C3
ENSG00000225454	CHR_HSCHR6_MHC_DBB_CTG1	30922062	30922884	HGNC:18386	SFTA2
ENSG00000173213	18	47221	73545		
ENSG00000206329	CHR_HSCHR6_MHC_QBL_CTG1	32111042	32121288	HGNC:9326	PPT2
ENSG00000242259	22	19351368	19448232	HGNC:27012	C22orf39
ENSG00000226022	3	6148484	6365885		
ENSG00000234140	CHR_HSCHR6_MHC_QBL_CTG1	29982616	29983011	HGNC:33461	DDX39BP2
ENSG00000232958	3	6208269	6208571		
